id,avtor
Black_Widow%27s_Gauntlets,Don Heck

Blade_Benson_(Earth-616),Jack Keller

Blanche_Carter_(Earth-616),Stan Goldberg

Blastaar_(Earth-616),Jack Kirby

Blastaar_(Earth-78909),Roy Thomas

Blips,Jack Kirby

Blitzkrieg_Squad_(Earth-616),Dick Ayers

Blizzard_Armor,Robert Bernstein

Blizzard_Armor,Don Heck

Bloodaxe_(Enchanted_Axe),Jack Kirby

Blue_Area_of_the_Moon,Jack Kirby

Blue_City,Jack Kirby

Body-Transferral_Ray,Gene Colan

Bolivar_Trask_(Earth-616),Jack Kirby

Bombu_(Earth-616),Jack Kirby

Bombu_(Earth-616),Dick Ayers

Bones_(Earth-616),Jack Kirby

Booie_Dawdly_(Earth-616),Mike Suchorsky

Boopsie_(Earth-616),Bob Powell

Border_City,Jack Kirby

Borers,Jack Kirby

Borgo_(Earth-616),John Buscema

Boris_(Latverian)_(Earth-616),Jack Kirby

Boris_Bullski_(Earth-616),Don Heck

Boris_Monguski_(Earth-616),Jack Kirby

Boris_Petrovsky_(Earth-616),Jack Kirby

Boris_Turgenov_(Earth-616),N. Korok

Boris_Turgenov_(Earth-616),Don Heck

Borjigin_Byambyn_Khenbish_(Earth-616),Jack Kirby

Bornag_Royale_(Earth-616),Jack Kirby

Bor_Burison_(Earth-616),Jack Kirby

Boss_(Earth-616),Gene Colan

Boss_Barker_(Earth-616),Jack Kirby

Boswell_(Earth-616),John Romita Sr.

Bottomless_Canyon,Jack Kirby

Bottomless_Lake,Jack Kirby

Brad_Carter_(Scientist)_(Earth-616),Steve Ditko

Braggi_(Earth-616),Jack Kirby

Bret_Marlowe_(Earth-616),Larry Lieber

Bret_Marlowe_(Earth-616),Steve Ditko

Brian_Muldoon_(Earth-616),John Romita

Brian_Xavier_(Earth-616),Jack Kirby

Brian_Xavier_(Earth-616),Alex Toth

Brimer_(Earth-616),Jack Kirby

Brok_(Asgardian)_(Earth-616),Jack Kirby

Brona_(Earth-616),Jack Kirby

Brotherhood_of_Evil_Mutants_(Earth-616),Jack Kirby

Brother_Royal_(Earth-616),John Buscema

Bruce_Andrews_(Earth-616),Jack Kirby

Bruce_Baker_(Earth-616),Al Hartley

Bruce_Banner_(Earth-616),Jack Kirby

Bruce_Banner_(Earth-70813),Kevin Maguire

Bruce_Banner_(Earth-77013),Larry Lieber

Bruce_Baxter_(Earth-616),Pete Tumlinson

Bruce_Brent_(Earth-616),Don Rico

Bruce_Kulick_(Earth-9658),Mort Todd

Bruce_Kulick_(Earth-9658),Gene Simmons

Bruce_Olafsen_(Earth-616),Jack Kirby

Bruno_Horgan_(Earth-616),Steve Ditko

Brushnev_(Earth-616),Don Heck

Bryant_Park,Gene Colan

Bulgaria,Jack Kirby

Bull%27s_Thug%27s_Armored_Suit,Jack Kirby

Bulldozer_(M.O.D.O.K.%27s_Automaton)_(Earth-616),Gene Colan

Bull_(Criminal)_(Earth-616),Jack Kirby

Bull_Barker_(Earth-616),Don Heck

Bull_Barton_(Earth-616),Jack Keller

Bull_Brogin_(Earth-616),Jack Kirby

Bull_Yaeger_(Earth-616),Joe Maneely

Bumpkin_(Earth-616),Scott Lobdell

Burglar_(Earth-616),Steve Ditko

Buri_(Earth-616),Jack Kirby

Buster_Bailey_(Earth-616),Al Hartley

Butch_(Tough_Kid_Squad)_(Earth-616),Mike Sekowsky

Cack_Clugg_(Earth-616),Jack Kirby

Cain_Marko_(Earth-616),Jack Kirby

Cain_Marko_(Earth-616),Alex Toth

Caldwell_Rozza_(Earth-616),Gene Colan

Calico_Kid_(Earth-616),John Buscema

Calvin_Rankin_(Earth-616),Jack Kirby

Calvin_Zabo_(Earth-616),Don Heck

Cap%27n_Barracuda_(Earth-616),Jack Keller

Cape_Citadel,Jack Kirby

"Captain_America_(Impersonator,_Sons_of_the_Serpent)_(Earth-616)",Don Heck

Captain_Barracuda_(Earth-616),Jack Kirby

Captain_Corbett_(Earth-616),Jack Keller

Captain_Kane_(Earth-616),Jack Kirby

Carelius_(Earth-6311),Don Heck

Carla_Strange_(Earth-616),Robert Bernstein

Carla_Strange_(Earth-616),Jack Kirby

Carlo_Strange_(Earth-616),Robert Bernstein

Carlo_Strange_(Earth-616),Jack Kirby

Carlo_Zota_(Earth-616),Carl Burgos

Carlo_Zota_(Earth-616),Robert O. Erisman

Carlo_Zota_(Earth-616),Newt Alfred

Carlo_Zota_(Earth-616),Jack Kirby

Carl_Collins_(Earth-63157),Larry Lieber

Carl_Creel_(Earth-600026),Jack Kirby

Carl_Creel_(Earth-616),Jack Kirby

Carl_Kaxton_(Earth-616),Wally Wood

Carl_Zante_(Earth-616),Larry Lieber

Carl_Zante_(Earth-616),Dick Ayers

Carole_Jennings_(Earth-77013),John Romita

Carson_Bells_(Earth-616),Don Rico

Carter_Street,Gene Colan

Castle_Doom,Jack Kirby

Cat-Man_(Alien)_(Earth-616),Jack Kirby

Cat_Burglar_(Earth-616),Steve Ditko

Cavern_of_Darkness,Dan Adkins

Cave_of_Shadows,Gene Colan

Cave_of_Thor%27s_birth,Larry Lieber

Cave_of_Thor%27s_birth,Jack Kirby

Cedric_Rawlings_(Earth-616),Jack Kirby

Celia_Rawlings_(Earth-616),Jack Kirby

Cerberus_(Earth-616),Jack Kirby

Cerebro_(Mutant_Detector),Jack Kirby

Chair_of_Survival,Jack Kirby

Chan_Liuchow_(Earth-616),Jack Kirby

Chao-Tung_(Earth-616),Larry Lieber

Chao_Yen_(Earth-616),Don Heck

Charles_Bentley_(Earth-616),Jack Kirby

Charles_Brown_(Earth-616),Al Hartley

Charles_Buchanan_(Earth-616),Steve Ditko

Charles_Burton_(Earth-616),Don Heck

Charles_Cragmore_(Earth-616),Jack Kirby

Charles_Duntmore_(Earth-616),Paul Reinman

Charles_J._Wentworth_(Earth-616),Jack Kirby

Charles_Lawson_(Earth-616),Jerry Siegel

Charles_Lawson_(Earth-616),Dick Ayers

Charles_Murphy_(Earth-616),Steve Ditko

Charles_Stanton_(Earth-616),Larry Lieber

Charles_Stanton_(Earth-616),Jack Kirby

Charles_Wentworth_(Earth-616),Larry Lieber

Charles_Xavier_(Earth-616),Jack Kirby

Charles_Xavier_(Earth-71016),John Romita Jr.

